"Return Series","Mean","Std. Dev","Min","Max","Skew","Kurtosis","JB test","ADF test","PP test","KPSS test","ARCH (12)","LB (12)","LB2 (12)"
"GPR","4.581","0.342","3.690","6.241","1.023","6.290","309.711***","-4.213***","-102.927***","0.441*","291.640***","1311.772***","1177.922***"
"GPRT","4.609","0.349","3.629","6.003","0.733","4.581","95.948***","-4.094***","-126.860***","0.931***","275.029***","1235.498***","1150.490***"
"GPRA","4.498","0.460","3.383","6.751","1.005","5.920","259.254***","-3.696**","-89.573***","0.271*","304.438***","1562.217***","1386.072***"
