"","GPR","GPRT","GPRA","GPR_VIE","WUI"
"GPR","1.000","","","",""
"GPRT","0.846***","1.000","","",""
"GPRA","0.917***","0.569***","1.000","",""
"GPR_VIE","0.709***","0.660***","0.624***","1.000",""
"WUI","0.367***","0.393***","0.243***","0.432***","1.000"
