"Return Series","Mean","Std. Dev","Min","Max","Skew","Kurtosis","JB test","ADF test","PP test","KPSS test","ARCH (12)","LB (12)"
"VNIndex","0.045","1.444","-8.226","7.741","-0.436","6.783","3916.479***","-15.240***","-5345.374***","0.114*","2159.561***","470.103***"
"XAUUSD","0.045","1.106","-10.350","11.467","-0.398","9.811","12220.827***","-18.594***","-5964.483***","0.167*","408.307***","23.806**"
"GC_F","0.045","1.132","-12.066","10.283","-0.453","10.549","14992.596***","-18.888***","-6061.590***","0.167*","296.433***","22.235**"
"SJC","0.055","0.905","-8.726","7.798","-0.147","21.538","68475.896***","-15.568***","-5231.565***","0.469**","617.728***","52.266***"
